Country,Country Code,Service Name,Service Code,Price (RMB),Min Days,Max Days,Available,Unavailable Reason
"Australia","AU","YunExpress clothing Registered Air Mail","LS1255479595",63.55,14,21,true,""
"Australia","AU","YunExpress Air Cargo (General)","LS1963203596",64.81,10,21,true,""
"Australia","AU","YunExpress Premium Line(General)","LS1800731582",77.2,7,12,true,""
"Australia","AU","YunExpress Air Cargo (Batteries)","LS1279428260",79.93,10,21,true,""
"Australia","AU","EUB-HB","LS1998817720",97.48,21,35,true,""
"Australia","AU","Australia Air Express","LS0573723595",110,17,28,true,""
"Australia","AU","Special Line (Ocean Cargo)","LS0080135043",110,42,63,true,""
"Australia","AU","EUB-HZ","LS0339145533",114.37,17,31,true,""
"Australia","AU","ETK-HB","LS1566549034",138.57,17,31,true,""
"Australia","AU","EMS Preferential Line-HZ","LS1846165147",144.4,20,34,true,""
"Australia","AU","EMS","LS000064008",150.8,14,42,true,""
"Australia","AU","Duty-Free Air Express","LS1220844849",169,17,28,true,""
"Australia","AU","Aramex Air Cargo (Small)","LS0174617465",206.25,14,28,true,""
"Australia","AU","HK DHL Preferential Line","LS0248096846",253.68,8,11,true,""
"Australia","AU","NL Post Preferential Standard Air Mail","LS2118102085",291.6,21,42,true,""
"Australia","AU","NL Post Preferential Air Mail (Batteries)","LS0969815489",296.4,21,42,true,""
"Australia","AU","UPS(HK)-5000","LS1239789105",378,8,11,true,""
"Australia","AU","Customized Services","LS1360031547",0,21,42,true,""
"Australia","AU","Aramex Air Cargo (Heavy)","LS0037304700",undefined,14,28,false,"Lighter than minimum weight:15.000KG
"
"Australia","AU","HK DHL Preferential Line (Heavy Cargo)","LS2119674657",undefined,8,11,false,"Lighter than minimum weight:34.000KG
"
"New Zealand","NZ","ETK-HB","LS1566549034",117.93,17,31,true,""
"New Zealand","NZ","EUB-HB","LS1998817720",118.77,21,35,true,""
"New Zealand","NZ","YunExpress Air Cargo (General)","LS1963203596",124.87,12,14,true,""
"New Zealand","NZ","YunExpress Premium Line(General)","LS1800731582",130.2,12,21,true,""
"New Zealand","NZ","EUB-HZ","LS0339145533",139.78,17,31,true,""
"New Zealand","NZ","NZ Air Cargo (Special)","LS1137613999",145.4,14,21,true,""
